Epsilon(kCal/mol) T(Kelvin) Cv(kCal/mol*Kelvin)
2.79 19.47 0.2974
2.79 19.57 0.297
2.79 19.67 0.2967
2.79 19.77 0.2963
2.79 19.88 0.296
2.79 19.98 0.2956
2.79 20.08 0.2952
2.79 20.19 0.2948
2.79 20.3 0.2944
2.79 20.4 0.294
2.79 20.51 0.2935
2.79 20.62 0.2931
2.79 20.72 0.2926
2.79 20.83 0.2922
2.79 20.94 0.2917
2.79 21.05 0.2912
2.79 21.16 0.2907
2.79 21.27 0.2902
2.79 21.38 0.2896
2.79 21.49 0.2891
2.79 21.61 0.2886
2.79 21.72 0.288
2.79 21.83 0.2874
2.79 21.95 0.2868
2.79 22.06 0.2863
2.79 22.18 0.2857
2.79 22.29 0.285
2.79 22.41 0.2844
2.79 22.52 0.2838
2.79 22.64 0.2831
2.79 22.76 0.2825
2.79 22.88 0.2818
2.79 23.0 0.2811
2.79 23.12 0.2804
2.79 23.24 0.2797
2.79 23.36 0.279
2.79 23.48 0.2782
2.79 23.61 0.2774
2.79 23.73 0.2766
2.79 23.85 0.2758
2.79 23.98 0.275
2.79 24.1 0.2741
2.79 24.23 0.2732
2.79 24.36 0.2722
2.79 24.48 0.2713
2.79 24.61 0.2703
2.79 24.74 0.2692
2.79 24.87 0.2681
2.79 25.0 0.267
[ 3.98440943  4.25304709  4.42316206  4.47655403  4.40952488  4.23163616
  3.96106876  3.62734873  3.25574787  2.87626234  2.50602746  2.16360544
  1.85420583  1.58482534  1.35280048  1.15832881  0.99580868  0.86281641
  0.75375702  0.66583077  0.59456064  0.53761584  0.49177381  0.45533266
  0.42610314  0.40292313  0.38435405  0.36963179  0.35782925  0.34845533
  0.34091925  0.33491     0.33005338  0.32615463  0.32297736  0.32040087
  0.31827589  0.3165286   0.31506458  0.31383953  0.31279356  0.31190092
  0.31112346  0.31044702  0.30984721  0.30931706  0.30884091  0.30841618
  0.30803283  0.30769087  0.30738393  0.3071134   0.30687539  0.30667187
  0.30650066  0.3063638   0.30626035  0.30619199  0.30615874  0.30616167
  0.30620155  0.30627862  0.30639427  0.30654775  0.306741    0.30697213
  0.30724354  0.30755215  0.3079007   0.30828485  0.30870765  0.30916343
  0.30965543  0.3101767   0.31073054  0.31130871  0.31191446  0.31253836
  0.31318345  0.31383919  0.31450826  0.31517917  0.31585404  0.31652066
  0.31718041  0.31782057  0.31844161  0.31903062  0.31958698  0.32009791
  0.32056152  0.32096562  0.32130687  0.32157409  0.32176236  0.32186202
  0.32186644  0.321768  ]
2.81 15.08 1.4534
2.81 15.16 1.5749
2.81 15.24 1.6938
2.81 15.32 1.8053
2.81 15.4 1.9072
2.81 15.48 1.9948
2.81 15.56 2.066
2.81 15.64 2.1173
2.81 15.72 2.1474
2.81 15.8 2.1552
2.81 15.89 2.1411
2.81 15.97 2.1063
2.81 16.05 2.0526
2.81 16.14 1.9833
2.81 16.22 1.901
2.81 16.3 1.8099
2.81 16.39 1.7124
2.81 16.48 1.6127
2.81 16.56 1.5123
2.81 16.65 1.4146
2.81 16.74 1.3202
2.81 16.82 1.2315
2.81 16.91 1.1483
2.81 17.0 1.072
2.81 17.09 1.0018
2.81 17.18 0.9386
2.81 17.27 0.8814
2.81 17.36 0.8304
2.81 17.45 0.7848
2.81 17.54 0.7444
2.81 17.63 0.7084
2.81 17.72 0.6767
2.81 17.82 0.6486
2.81 17.91 0.6238
2.81 18.0 0.6018
2.81 18.1 0.5824
2.81 18.19 0.5652
2.81 18.29 0.5499
2.81 18.38 0.5363
2.81 18.48 0.5241
2.81 18.57 0.5132
2.81 18.67 0.5034
2.81 18.77 0.4945
2.81 18.87 0.4865
2.81 18.97 0.4791
2.81 19.06 0.4724
2.81 19.16 0.4662
2.81 19.26 0.4606
2.81 19.37 0.4553
2.81 19.47 0.4503
2.81 19.57 0.4457
2.81 19.67 0.4414
2.81 19.77 0.4373
2.81 19.88 0.4335
2.81 19.98 0.4298
2.81 20.08 0.4264
