[(-2747064995.861429, 2700924537.6856456, 1144822201.6761189), (-5525978800.856716, 3581129257.499587, 22938987763.52207), (-765423341.426413, -1999445882.1587281, -15691834379.842546), (-11187547257.206688, 11824766274.605167, -6892863503.210409), (10169709870.487383, -11118109343.979935, 3899102389.534301), (-96120261576.11017, -147988026796.04742, 123130919462.6837), (95900728886.93002, 145162927926.52942, -118331056435.7921), (62013166667.894455, 121179483605.17648, 191761698427.3771), (-53506604071.769684, -115627629857.24419, -191791569149.77448), (-95805379309.29858, 153409869327.78726, -58556059413.655685), (95789043426.7493, -151510631643.78366, 51851480573.26127), (187100999415.7976, 125027443788.94888, -70692040345.36086), (-182214462928.86026, -128381988618.33478, 68165023154.326035), (1369084371912.8875, -588187504123.6403, 1053301938761.0878), (-1369617547607.7012, 582479946225.8823, -1053063906496.0593), (-2567724275.655016, -553128582.9258802, -1174728801.773021)] kJ/(nm mol)
[(-1353773358.3085918, 1323331115.0624952, 470639534.75703), (-3856218676.495543, 2558588856.7253394, 16182647300.031878), (230567789.22756624, -1611450066.9258823, -10403718105.562342), (-8246790351.048909, 8590790937.991114, -5032047172.595108), (7676172245.071501, -8212671822.297232, 2516950577.3402295), (-1374436108.3045564, -3362136499.1639776, 2937885737.197485), (2359245961.9335933, 2190389121.256172, -1817381138.656482), (2367102882.076233, 1665274084.6274962, 2403907395.1029997), (903577234.2247285, -668083578.6397245, -2518774009.4240465), (-1320368483.72151, 3951506799.5914793, -3697750947.38871), (3020640070.208598, -3564530784.3313503, 812670531.7035791), (2312751139.167652, 873557626.6879176, -882090621.0575333), (-1242555919.9434316, -2470698438.4411345, -472187639.6405058), (1447397.2761886702, -2336496.1625498463, 1480392.0549146165), (-35184211.61042239, -27834404.847563002, -23888400.769654647), (-1442177894.253097, -1233696115.3825994, -478343024.7187344)] kJ/(nm mol)
[(-607732038.3125637, 535537159.8326161, 159792224.1417537), (-2166136100.7843275, 1475563876.7484722, 9184244598.44077), (69099325.77407157, -1030331449.5585237, -4833453192.604099), (-4979234474.813238, 5073319870.748914, -2952606162.558261), (4661940258.861568, -4698677197.278132, 1440452550.5903864), (-143732879.18256742, -460747838.7908532, 966669918.2926494), (502045687.23385566, 106444384.98715472, -130721455.94228062), (721641840.846771, 175755439.55850783, 222855725.11587942), (2384977003.8853884, 1806471294.7117095, -357518555.40262985), (924378591.3170472, 452051052.84595144, -2237989762.087926), (600352960.4885502, -218540144.15723616, -52855066.85323618), (278973022.75565964, -99901960.99935836, -153129781.41786602), (338285173.4727075, -837519074.016789, -1002572318.5171646), (2917.332297550165, -3719.101278302334, 2583.698600213655), (-114074.98156742947, -39652.35822831546, -105699.56940351514), (-2584746591.5059576, -2279381159.4251237, -253065252.6899639)] kJ/(nm mol)
[(-264781812.07677376, 191396096.4350637, 48369977.99788892), (-1121534864.7016783, 779652881.8940319, 4777953962.982277), (-130252475.61538959, -704576303.7907305, -1637895783.9952056), (-2779767569.8277655, 2715243604.7577276, -1483391603.4375858), (2585086563.6783075, -2359654316.3889904, 769644715.4180589), (-138665892.17174685, -46930359.19713956, 740374041.1370748), (160387472.00534323, 46845354.63370633, -17121649.637197975), (286897596.54117274, 58293543.77724415, 65994201.48982776), (4949920858.9719, 4070698249.912243, -1055708798.5456076), (904462168.8832254, 340614796.55199724, -1949749343.69105), (267950697.77727592, -52846406.12043445, -31079237.43114878), (136888205.49213982, -78593801.40643539, -84361427.57780005), (250606822.20142832, -622605898.1951607, -865823869.5892814), (-1178.9005132069037, 335.90860290608055, -674.9872423763801), (2077.1388786524876, 641.7744591973371, 1069.2481293817768), (-5107198845.887549, -4337537927.454494, 722794293.0665097)] kJ/(nm mol)
[(-113184336.61782312, 63127167.42734672, 14789170.99400666), (-575998549.0560867, 404411645.8366477, 2449162786.995634), (-140798808.68212807, -518210487.54133356, -337646426.4718312), (-1562036866.167932, 1401718451.7096043, -621210080.7014189), (1412317585.8207288, -1127328644.5426815, 405999246.4420653), (-112398973.36537875, 67767696.22766115, 583552335.179826), (33330691.598730348, 43024874.34827186, 8153256.297411263), (121820751.02788186, 26370508.01653057, 26056396.501733128), (7428277591.183892, 5743139955.757425, -2893689953.3969464), (690204259.0550269, 356755604.63653076, -1567897860.8934016), (127367702.72062851, -30646668.52465465, -12625252.823749498), (89121251.22432642, -52297525.223257385, -51716816.54138679), (136723242.90186372, -447148657.75632495, -673775974.7248826), (-1250.547097993304, 311.48102699856895, -716.0500344068888), (2269.23433709373, -1058.2332421230801, 1165.3971714947581), (-7534747037.616972, -5930683608.591345, 2670848752.5492744)] kJ/(nm mol)
[(-47482050.54455672, 19925812.118329816, 6099360.488074781), (-301954874.2158205, 212147001.09194818, 1274862565.6448817), (-71464908.52683537, -353739692.0544594, 24767781.35352166), (-917843036.2389184, 708821419.9984584, -164181666.29766995), (785063187.8021519, -539395193.7792549, 220573503.79877383), (-72856461.13017951, 85751400.42987064, 444132309.25100976), (-9776068.536776312, 33399530.516176492, 12646406.537576016), (53872742.16972419, 13105860.315199822, 11432553.72928854), (6698979108.6987705, 4715471177.340571, -3931652435.097774), (472972698.23069316, 315557913.18076694, -1133480952.3780062), (58674739.96619, -18984323.113245085, -5684597.601002189), (60222677.375372864, -34551279.23557726, -31588765.67894679), (63902561.31222886, -288153829.92950857, -492042920.6264757), (-1474.3004166285677, 394.17739499670245, -861.4930429185292), (2302.139583793135, -1184.601845373735, 1811.3909215544857), (-6772310943.721346, -4869354823.249612, 3764116481.533274)] kJ/(nm mol)
[(-19659113.40513206, 6324108.241971578, 3883166.2091036327), (-162811330.93606418, 113911044.39403763, 680824040.7046049), (-14772982.198319402, -204168455.84083351, 61875459.94653135), (-561408988.2954308, 344690427.6161748, 48094272.76545194), (448923591.06744456, -261398121.1074055, 130542982.6412005), (-39673431.73250272, 72460754.56023012, 325880041.35088056), (-19795471.963043243, 23289546.365021374, 10795137.95722951), (24508142.811195947, 6739700.784796463, 5316193.69928345), (3706605946.4773874, 2335266572.897413, -2930559257.2590265), (308067822.3813458, 241073619.424773, -762185586.436026), (26685486.62562409, -11050258.305232057, -2841115.082977702), (40630227.18367499, -22663079.007034153, -19052991.58793044), (25829111.21738255, -171818582.0280379, -346588342.43662924), (-1738.7950688388544, 494.5125053267898, -1037.7389593243065), (2705.4643355608314, -1370.7578865570144, 2244.495965922221), (-3763129933.9515977, -2472656713.6471095, 2794014826.1737204)] kJ/(nm mol)
[(-8107253.873792727, 2262766.578866055, 2972541.0346810054), (-90301241.2371485, 62905159.25729872, 373916331.11666083), (10564157.496634848, -91603146.27404669, 35177379.72697819), (-347769456.6276098, 154727871.75150388, 120407609.0805709), (266450628.75411516, -124124005.40365121, 87950006.40441883), (-17512002.239507373, 53014711.54624815, 231398114.98018944), (-18501571.34031169, 15444013.31625389, 7728191.207709216), (11416402.170485241, 3516374.1136804917, 2571340.6014184277), (1468958662.4487016, 815595022.9362763, -1461966948.009095), (195356310.009242, 170586400.0716683, -493557381.77725786), (12290583.004640596, -6174124.689727552, -1466809.6584244503), (27207053.22789303, -14756083.382111467, -11357607.21226584), (7497850.30633202, -98697019.16365321, -239003241.53948715), (-2014.5020321826505, 594.0673585800176, -1222.5208696841344), (3158.8079437233, -1589.9110382498225, 2661.295746554111), (-1517551293.706742, -942696910.8591185, 1345228904.1699662)] kJ/(nm mol)
[(-3357202.4790391745, 1123622.9794695943, 2300066.947012799), (-51431016.48020259, 35775313.51789494, 211091217.02106768), (16630374.201348022, -20426337.180905122, 16305526.393252864), (-212452992.77936345, 59858601.08627522, 121539439.2776879), (165880643.23980603, -53259829.7857942, 66800653.689464696), (-4781209.683153883, 35986512.2020541, 159819584.515605), (-14388122.783267237, 10011907.37553929, 5087084.522201177), (5431653.9942113925, 1850261.6488071615, 1287260.9392129178), (486095450.9223395, 233643381.1320549, -582545433.2226701), (119983538.94223888, 117190703.73869367, -312489879.56292605), (5803150.465082704, -3391192.051633855, -756302.563807251), (18093869.095894437, -9554326.606860545, -6704519.872007117), (-977736.0675124819, -56199417.96020633, -162207627.4352368), (-2294.412919610417, 690.5746180768336, -1409.9391673908835), (3623.445290511847, -1821.3736449961891, 3073.6719748221926), (-530531722.79522145, -352608027.1494882, 480471278.6807711)] kJ/(nm mol)
[(-1402635.5264431268, 836167.2544998359, 1754039.4701081442), (-30027503.892559662, 20939345.52878794, 122306146.46689449), (15602731.046353236, 19407948.159348574, 10674062.038316324), (-126212163.6680451, 16764883.225370457, 94931352.375445), (109140731.9247546, -16195414.275587145, 54601326.565635875), (1514147.618446026, 23336229.04283034, 107944876.7816302), (-10361300.082635915, 6429453.974744392, 3192874.8193718367), (2632208.714780185, 979709.1261178225, 664771.1953019125), (148948381.73316613, 60568812.30172164, -208437067.92497513), (70446732.6110153, 79222885.38670015, -193334123.95333597), (2817855.1562347286, -1856636.1824384343, -387519.18355083815), (11974925.02610798, -6165752.7534382455, -3926400.535565999), (-4495601.2003715, -32154299.387892608, -108539314.72425197), (-2576.4506600279788, 784.3956933200243, -1598.1268700072255), (4091.3422944338035, -2058.52429666824, 3483.771194253211), (-190580032.39091626, -172112071.0798038, 118553042.4207763)] kJ/(nm mol)
[(-591364.1530287396, 774932.8752648043, 1342242.3858434274), (-17944180.943187263, 12589543.090073273, 72590546.12197663), (13349527.782480137, 39921752.57942908, 11421614.863610374), (-72796100.5852883, 218012.59798435122, 64299622.15266192), (75959931.08093767, 2676468.824792968, 46052572.791566655), (3988397.455693207, 14683486.611905433, 71658919.05428118), (-7183790.126909095, 4117268.546710643, 1945322.2908064174), (1295760.6936610003, 521419.1019019849, 352027.2181164818), (44954418.742471464, 14978841.537282802, -71836537.59929377), (39275668.9582206, 52418502.83883072, -116386305.21472898), (1406305.890901061, -1020746.4584069917, -197987.19718652323), (7903664.00835025, -3974244.5500540608, -2284270.444924634), (-5457769.075367385, -18544239.216532692, -71723326.59605521), (-2859.818162247619, 876.171754049915, -1786.4088823647896), (4560.347661297843, -2298.7278229289623, 3892.5042884029085), (-84162164.53976032, -119359575.81771529, -7236529.662262626)] kJ/(nm mol)
[(-249506.17001747142, 759067.3455704924, 1050378.231660554), (-10960621.303989641, 7756414.46070072, 44046353.41836341), (11671832.18156767, 49719071.409572765, 13622650.57380939), (-41034502.47864523, -4207490.742640917, 39494285.35519929), (55604292.19010703, 11547132.07242955, 39134703.3840345), (4456967.956021323, 9051172.518614888, 46966738.59647627), (-4883337.597566887, 2638472.4998551467, 1161769.296318018), (646661.9266832526, 278799.82565598615, 189752.11893792017), (13838907.70448219, 3601590.467599139, -24829742.141002234), (20811922.678917747, 33713336.240659766, -68106947.46602888), (719918.6634593346, -565677.4206744076, -101355.67635823974), (5212220.357290548, -2563321.5260734893, -1321148.0943489727), (-5167255.640640259, -10766470.515816519, -46911043.51729404), (-3144.1258533632313, 966.43301464846, -1974.5273578592155), (5029.780502281434, -2540.743437402005, 4300.377574430818), (-50669384.612084016, -100960513.65163372, -44398709.86053008)] kJ/(nm mol)
[(-102100.65140942445, 741572.6707497116, 848595.3118544276), (-6833576.247722229, 4884371.952165721, 27272139.327213116), (10755544.6900391, 53790560.87596899, 15251852.943189347), (-22851130.39497997, -4041908.554281514, 22509999.987750255), (42397939.50960575, 14952184.457435228, 33150112.00403574), (4022077.6976697245, 5501534.275184598, 30510686.193031166), (-3286392.395375067, 1695406.7018469612, 683768.1618358659), (326768.0538901283, 149765.99824052025, 103398.19021551353), (4426662.152563649, 831144.394927933, -8800024.903123481), (10534580.312274583, 21044743.51828205, -38861674.63543762), (377052.1593371252, -316499.701545933, -52282.64045676968), (3439913.0069209514, -1656882.5005699056, -759703.7424462975), (-4364265.600806711, -6279235.190339634, -30449229.461816173), (-3429.1444808798665, 1055.56911739767, -2162.3888957013028), (5499.398157328279, -2783.9130172967148, 4707.692405584977), (-38845141.54736801, -91295022.90573218, -51410183.92682043)] kJ/(nm mol)
[(-36213.94212459317, 714172.6026414125, 707820.3393911953), (-4342504.130820044, 3136316.278798133, 17201024.971798643), (10364337.1152311, 54756228.108402915, 15845043.289413398), (-12724140.5333526, -2701667.781766083, 12044029.23304835), (33318223.42256066, 15453892.825396469, 27880703.587833297), (3283415.4663856537, 3312743.3518250585, 19709615.00721139), (-2201993.820092555, 1093689.0698054438, 397704.0684896184), (167072.6266984977, 80842.7586371731, 56615.44448664877), (1484051.8470214675, 172000.71490043405, -3233477.824179076), (5123346.49781609, 12791801.264643226, -21741202.134570766), (201428.20232558658, -178799.52797282234, -27383.748326913617), (2274903.841644544, -1074619.8291077535, -434038.86798688676), (-3448821.1823445135, -3673066.249476828, -19665526.522522), (-3714.7217340210177, 1143.8594218984913, -2349.9695120852425), (5969.106233056649, -3027.8565669687146, 5114.633946525159), (-33465361.042416025, -83881653.33439304, -48743690.72413915)] kJ/(nm mol)
[(-5052.399418143342, 678549.3532735839, 606185.014497795), (-2808567.1937552923, 2049207.8394821386, 11034064.775564075), (10245195.559220178, 53945333.20180428, 15526570.210400956), (-7165549.203602129, -1451758.1842480055, 6060769.769250646), (26730657.358374067, 14502005.459832529, 23258877.22197898), (2530881.69630834, 1982954.7710525417, 12695570.636788007), (-1474092.4872603181, 708801.7020589078, 228817.54533135743), (86390.49445765124, 43855.38921568347, 30957.201508055237), (522951.6024637718, 23757.577692727344, -1236876.626838531), (2404308.3544475525, 7614257.866522285, -12000448.603621723), (109368.12543602166, -101864.54790695857, -14742.46976260767), (1509074.6491232633, -700034.8300946422, -245971.7875940218), (-2611038.284250076, -2153226.0295385327, -12667973.801401734), (-4000.7487106792223, 1231.504621672267, -2537.2751441456016), (6438.86536021851, -3272.3405007982615, 5521.319112139069), (-30076968.592764497, -77139798.9094932, -43278780.85823434)] kJ/(nm mol)
