Epsilon(kCal/mol) T(Kelvin) dCv(kCal/mol*Kelvin)
2.25 10.44 0.0366
2.25 10.88 0.0298
2.25 11.37 0.0241
2.25 11.85 0.0198
2.25 12.37 0.0162
2.25 12.89 0.0135
2.25 13.46 0.0113
2.25 14.03 0.0098
2.25 14.65 0.0087
2.25 15.27 0.008
2.25 15.95 0.0075
2.25 16.62 0.0073
2.25 17.36 0.0073
2.25 18.09 0.0074
2.25 18.89 0.0076
2.25 19.69 0.0078
2.25 20.56 0.008
2.25 21.43 0.0082
2.25 22.38 0.0084
2.25 23.33 0.0086
2.25 24.36 0.0088
2.25 25.39 0.0089
2.25 26.51 0.0091
2.25 27.63 0.0093
2.25 28.86 0.0096
2.25 30.08 0.01
2.25 31.41 0.0105
2.25 32.74 0.011
2.25 34.18 0.0116
2.25 35.63 0.0122
2.25 37.21 0.013
2.25 38.78 0.0137
2.25 40.49 0.0144
2.25 42.21 0.0151
2.25 44.07 0.0158
2.25 45.94 0.0165
2.25 47.97 0.0173
2.25 50.0 0.018
2.25 52.21 0.0188
2.25 54.42 0.0195
2.25 10.44 0.0366
2.25 10.88 0.0298
2.25 11.37 0.0241
2.25 11.85 0.0198
2.25 12.37 0.0162
2.25 12.89 0.0135
2.25 13.46 0.0113
2.25 14.03 0.0098
2.25 14.65 0.0087
2.25 15.27 0.008
2.25 15.95 0.0075
2.25 16.62 0.0073
2.25 17.36 0.0073
2.25 18.09 0.0074
2.25 18.89 0.0076
2.25 19.69 0.0078
2.25 20.56 0.008
2.25 21.43 0.0082
2.25 22.38 0.0084
2.25 23.33 0.0086
2.25 24.36 0.0088
2.25 25.39 0.0089
2.25 26.51 0.0091
2.25 27.63 0.0093
2.25 28.86 0.0096
2.25 30.08 0.01
2.25 31.41 0.0105
2.25 32.74 0.011
2.25 34.18 0.0116
2.25 35.63 0.0122
2.25 37.21 0.013
2.25 38.78 0.0137
2.25 40.49 0.0144
2.25 42.21 0.0151
2.25 44.07 0.0158
2.25 45.94 0.0165
2.25 47.97 0.0173
2.25 50.0 0.018
2.25 52.21 0.0188
2.25 54.42 0.0195
