Epsilon(kCal/mol) T(Kelvin) Cv(kCal/mol*Kelvin)
2.0 10.44 0.0498
2.0 10.88 0.0467
2.0 11.37 0.0441
2.0 11.85 0.0422
2.0 12.37 0.0411
2.0 12.89 0.0408
2.0 13.46 0.0413
2.0 14.03 0.0426
2.0 14.65 0.0447
2.0 15.27 0.0474
2.0 15.95 0.051
2.0 16.62 0.0549
2.0 17.36 0.0593
2.0 18.09 0.0637
2.0 18.89 0.0682
2.0 19.69 0.0721
2.0 20.56 0.0754
2.0 21.43 0.0779
2.0 22.38 0.0795
2.0 23.33 0.08
2.0 24.36 0.0798
2.0 25.39 0.079
2.0 26.51 0.0777
2.0 27.63 0.0763
2.0 28.86 0.075
2.0 30.08 0.0741
2.0 31.41 0.0737
2.0 32.74 0.074
2.0 34.18 0.0752
2.0 35.63 0.0775
2.0 37.21 0.0812
2.0 38.78 0.0864
2.0 40.49 0.0939
2.0 42.21 0.1037
2.0 44.07 0.117
2.0 45.94 0.1332
2.0 47.97 0.1536
2.0 50.0 0.1755
2.0 52.21 0.198
2.0 54.42 0.2154
2.0 10.44 0.0498
2.0 10.88 0.0467
2.0 11.37 0.0441
2.0 11.85 0.0422
2.0 12.37 0.0411
2.0 12.89 0.0408
2.0 13.46 0.0413
2.0 14.03 0.0426
2.0 14.65 0.0447
2.0 15.27 0.0474
2.0 15.95 0.051
2.0 16.62 0.0549
2.0 17.36 0.0593
2.0 18.09 0.0637
2.0 18.89 0.0682
2.0 19.69 0.0721
2.0 20.56 0.0754
2.0 21.43 0.0779
2.0 22.38 0.0795
2.0 23.33 0.08
2.0 24.36 0.0798
2.0 25.39 0.079
2.0 26.51 0.0777
2.0 27.63 0.0763
2.0 28.86 0.075
2.0 30.08 0.0741
2.0 31.41 0.0737
2.0 32.74 0.074
2.0 34.18 0.0752
2.0 35.63 0.0775
2.0 37.21 0.0812
2.0 38.78 0.0864
2.0 40.49 0.0939
2.0 42.21 0.1037
2.0 44.07 0.117
2.0 45.94 0.1332
2.0 47.97 0.1536
2.0 50.0 0.1755
2.0 52.21 0.198
2.0 54.42 0.2154
