Epsilon(kCal/mol) T(Kelvin) dCv(kCal/mol*Kelvin)
2.0 10.44 0.0129
2.0 10.88 0.0113
2.0 11.37 0.0098
2.0 11.85 0.0087
2.0 12.37 0.0079
2.0 12.89 0.0074
2.0 13.46 0.007
2.0 14.03 0.007
2.0 14.65 0.0071
2.0 15.27 0.0075
2.0 15.95 0.0081
2.0 16.62 0.0089
2.0 17.36 0.0098
2.0 18.09 0.0109
2.0 18.89 0.012
2.0 19.69 0.013
2.0 20.56 0.014
2.0 21.43 0.0147
2.0 22.38 0.0152
2.0 23.33 0.0154
2.0 24.36 0.0153
2.0 25.39 0.0151
2.0 26.51 0.0146
2.0 27.63 0.0141
2.0 28.86 0.0136
2.0 30.08 0.0132
2.0 31.41 0.013
2.0 32.74 0.0129
2.0 34.18 0.0131
2.0 35.63 0.0136
2.0 37.21 0.0144
2.0 38.78 0.0156
2.0 40.49 0.0173
2.0 42.21 0.0198
2.0 44.07 0.0235
2.0 45.94 0.0286
2.0 47.97 0.0365
2.0 50.0 0.0473
2.0 52.21 0.0626
2.0 54.42 0.0803
2.0 10.44 0.0129
2.0 10.88 0.0113
2.0 11.37 0.0098
2.0 11.85 0.0087
2.0 12.37 0.0079
2.0 12.89 0.0074
2.0 13.46 0.007
2.0 14.03 0.007
2.0 14.65 0.0071
2.0 15.27 0.0075
2.0 15.95 0.0081
2.0 16.62 0.0089
2.0 17.36 0.0098
2.0 18.09 0.0109
2.0 18.89 0.012
2.0 19.69 0.013
2.0 20.56 0.014
2.0 21.43 0.0147
2.0 22.38 0.0152
2.0 23.33 0.0154
2.0 24.36 0.0153
2.0 25.39 0.0151
2.0 26.51 0.0146
2.0 27.63 0.0141
2.0 28.86 0.0136
2.0 30.08 0.0132
2.0 31.41 0.013
2.0 32.74 0.0129
2.0 34.18 0.0131
2.0 35.63 0.0136
2.0 37.21 0.0144
2.0 38.78 0.0156
2.0 40.49 0.0173
2.0 42.21 0.0198
2.0 44.07 0.0235
2.0 45.94 0.0286
2.0 47.97 0.0365
2.0 50.0 0.0473
2.0 52.21 0.0626
2.0 54.42 0.0803
