Epsilon(kCal/mol) T(Kelvin) Cv(kCal/mol*Kelvin)
0.75 10.44 0.089
0.75 10.88 0.0882
0.75 11.37 0.0856
0.75 11.85 0.0816
0.75 12.37 0.0762
0.75 12.89 0.0704
0.75 13.46 0.0641
0.75 14.03 0.0582
0.75 14.65 0.0525
0.75 15.27 0.0477
0.75 15.95 0.0434
0.75 16.62 0.04
0.75 17.36 0.0373
0.75 18.09 0.0354
0.75 18.89 0.0342
0.75 19.69 0.0336
0.75 20.56 0.0337
0.75 21.43 0.0344
0.75 22.38 0.0357
0.75 23.33 0.0374
0.75 24.36 0.0396
0.75 25.39 0.0423
0.75 26.51 0.0453
0.75 27.63 0.0486
0.75 28.86 0.0522
0.75 30.08 0.0558
0.75 31.41 0.0595
0.75 32.74 0.0629
0.75 34.18 0.0662
0.75 35.63 0.069
0.75 37.21 0.0712
0.75 38.78 0.0725
0.75 40.49 0.073
0.75 42.21 0.0724
0.75 44.07 0.0707
0.75 45.94 0.0682
0.75 47.97 0.0646
0.75 50.0 0.0605
0.75 52.21 0.0557
0.75 54.42 0.0509
0.75 10.44 0.089
0.75 10.88 0.0882
0.75 11.37 0.0856
0.75 11.85 0.0816
0.75 12.37 0.0762
0.75 12.89 0.0704
0.75 13.46 0.0641
0.75 14.03 0.0582
0.75 14.65 0.0525
0.75 15.27 0.0477
0.75 15.95 0.0434
0.75 16.62 0.04
0.75 17.36 0.0373
0.75 18.09 0.0354
0.75 18.89 0.0342
0.75 19.69 0.0336
0.75 20.56 0.0337
0.75 21.43 0.0344
0.75 22.38 0.0357
0.75 23.33 0.0374
0.75 24.36 0.0396
0.75 25.39 0.0423
0.75 26.51 0.0453
0.75 27.63 0.0486
0.75 28.86 0.0522
0.75 30.08 0.0558
0.75 31.41 0.0595
0.75 32.74 0.0629
0.75 34.18 0.0662
0.75 35.63 0.069
0.75 37.21 0.0712
0.75 38.78 0.0725
0.75 40.49 0.073
0.75 42.21 0.0724
0.75 44.07 0.0707
0.75 45.94 0.0682
0.75 47.97 0.0646
0.75 50.0 0.0605
0.75 52.21 0.0557
0.75 54.42 0.0509
