Epsilon(kCal/mol) T(Kelvin) Cv(kCal/mol*Kelvin)
3.0 10.44 0.2319
3.0 10.88 0.1943
3.0 11.37 0.1585
3.0 11.85 0.131
3.0 12.37 0.1103
3.0 12.89 0.0969
3.0 13.46 0.0883
3.0 14.03 0.0837
3.0 14.65 0.0814
3.0 15.27 0.0806
3.0 15.95 0.0806
3.0 16.62 0.0808
3.0 17.36 0.0809
3.0 18.09 0.0807
3.0 18.89 0.0802
3.0 19.69 0.0794
3.0 20.56 0.0785
3.0 21.43 0.0777
3.0 22.38 0.077
3.0 23.33 0.0766
3.0 24.36 0.0767
3.0 25.39 0.0774
3.0 26.51 0.0788
3.0 27.63 0.0809
3.0 28.86 0.0841
3.0 30.08 0.0883
3.0 31.41 0.0938
3.0 32.74 0.1004
3.0 34.18 0.1085
3.0 35.63 0.1168
3.0 37.21 0.1255
3.0 38.78 0.1326
3.0 40.49 0.1375
3.0 42.21 0.1388
3.0 44.07 0.1358
3.0 45.94 0.1291
3.0 47.97 0.1187
3.0 50.0 0.1066
3.0 52.21 0.093
3.0 54.42 0.0802
3.0 10.44 0.2319
3.0 10.88 0.1943
3.0 11.37 0.1585
3.0 11.85 0.131
3.0 12.37 0.1103
3.0 12.89 0.0969
3.0 13.46 0.0883
3.0 14.03 0.0837
3.0 14.65 0.0814
3.0 15.27 0.0806
3.0 15.95 0.0806
3.0 16.62 0.0808
3.0 17.36 0.0809
3.0 18.09 0.0807
3.0 18.89 0.0802
3.0 19.69 0.0794
3.0 20.56 0.0785
3.0 21.43 0.0777
3.0 22.38 0.077
3.0 23.33 0.0766
3.0 24.36 0.0767
3.0 25.39 0.0774
3.0 26.51 0.0788
3.0 27.63 0.0809
3.0 28.86 0.0841
3.0 30.08 0.0883
3.0 31.41 0.0938
3.0 32.74 0.1004
3.0 34.18 0.1085
3.0 35.63 0.1168
3.0 37.21 0.1255
3.0 38.78 0.1326
3.0 40.49 0.1375
3.0 42.21 0.1388
3.0 44.07 0.1358
3.0 45.94 0.1291
3.0 47.97 0.1187
3.0 50.0 0.1066
3.0 52.21 0.093
3.0 54.42 0.0802
