Epsilon(kCal/mol) T(Kelvin) dCv(kCal/mol*Kelvin)
1.25 10.44 0.1029
1.25 10.88 0.0853
1.25 11.37 0.067
1.25 11.85 0.0511
1.25 12.37 0.0377
1.25 12.89 0.028
1.25 13.46 0.0207
1.25 14.03 0.0159
1.25 14.65 0.0124
1.25 15.27 0.0102
1.25 15.95 0.0086
1.25 16.62 0.0077
1.25 17.36 0.0071
1.25 18.09 0.0068
1.25 18.89 0.0067
1.25 19.69 0.0067
1.25 20.56 0.0068
1.25 21.43 0.007
1.25 22.38 0.0073
1.25 23.33 0.0076
1.25 24.36 0.0078
1.25 25.39 0.008
1.25 26.51 0.0082
1.25 27.63 0.0083
1.25 28.86 0.0084
1.25 30.08 0.0084
1.25 31.41 0.0083
1.25 32.74 0.0082
1.25 34.18 0.0081
1.25 35.63 0.0079
1.25 37.21 0.0077
1.25 38.78 0.0075
1.25 40.49 0.0073
1.25 42.21 0.0071
1.25 44.07 0.0069
1.25 45.94 0.0067
1.25 47.97 0.0065
1.25 50.0 0.0063
1.25 52.21 0.0061
1.25 54.42 0.0059
1.25 10.44 0.1029
1.25 10.88 0.0853
1.25 11.37 0.067
1.25 11.85 0.0511
1.25 12.37 0.0377
1.25 12.89 0.028
1.25 13.46 0.0207
1.25 14.03 0.0159
1.25 14.65 0.0124
1.25 15.27 0.0102
1.25 15.95 0.0086
1.25 16.62 0.0077
1.25 17.36 0.0071
1.25 18.09 0.0068
1.25 18.89 0.0067
1.25 19.69 0.0067
1.25 20.56 0.0068
1.25 21.43 0.007
1.25 22.38 0.0073
1.25 23.33 0.0076
1.25 24.36 0.0078
1.25 25.39 0.008
1.25 26.51 0.0082
1.25 27.63 0.0083
1.25 28.86 0.0084
1.25 30.08 0.0084
1.25 31.41 0.0083
1.25 32.74 0.0082
1.25 34.18 0.0081
1.25 35.63 0.0079
1.25 37.21 0.0077
1.25 38.78 0.0075
1.25 40.49 0.0073
1.25 42.21 0.0071
1.25 44.07 0.0069
1.25 45.94 0.0067
1.25 47.97 0.0065
1.25 50.0 0.0063
1.25 52.21 0.0061
1.25 54.42 0.0059
