#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
20,2653.1355408887584,4382.354614339374,7035.490155228133,21961.478561971777
40,2324.1192661457007,4689.398313371474,7013.517579517174,23500.17960451588
60,3540.7897002538753,3477.437455185043,7018.227155438918,17426.629025582974
80,2632.915681108499,4378.781930543762,7011.697611652262,21943.574620942152
100,3352.010237310105,3654.4793203660633,7006.489557676168,18313.84639362123
120,2436.5588485945445,4567.199876240578,7003.758724835123,22887.80142120422
140,3569.3208396155455,3431.8081743392295,7001.129013954775,17197.965085468535
160,2529.1267031492766,4462.088188445438,6991.214891594715,22361.050785696003
180,3432.736231728802,3561.9821701261344,6994.718401854936,17850.311522346572
200,2708.0619492295614,4220.98075705538,6929.042706284941,21152.77894291108
220,2335.4410717261662,4589.150934110761,6924.5920058369275,22997.805683582086
240,3328.3168464466557,3573.8983445168096,6902.215190963465,17910.0275497911
260,3372.476936678226,3535.3850301449133,6907.8619668231395,17717.024152676375
280,3364.480017654613,3545.6708828619844,6910.150900516597,17768.570080337824
300,2953.150219027656,3952.5037038675464,6905.653922895202,19807.348559739137
320,3414.1619586966863,3476.6232766006992,6890.785235297386,17422.548898094617
340,1602.49239048345,5273.8198291134495,6876.312219596899,26428.91580197608
360,2534.658935152547,4336.32499682825,6870.983931980797,21730.80839783703
380,3033.338613818979,3827.973512855941,6861.31212667492,19183.285159832853
400,2405.1940911613465,4452.854101420819,6858.048192582165,22314.775615821112
420,2606.0545922026504,4254.366263999684,6860.420856202334,21320.08514233155
440,2368.018923736734,4472.691121062934,6840.710044799668,22414.185709239446
460,3243.2227651547882,3587.2275637453236,6830.450328900111,17976.824828445137
480,2568.8878645953073,4253.91919803994,6822.807062635247,21317.844741826633
500,3694.1183981256936,3115.840784616563,6809.959182742256,15614.544375293402
520,3993.854338199809,2812.769940806429,6806.624279006238,14095.752669730271
540,2863.2877681537834,3920.5972287377053,6783.884996891489,19647.454294847998
560,3838.971841650635,2928.687845332644,6767.659686983279,14676.656955036477
580,3159.295677764592,3589.2438074696543,6748.539485234246,17986.92891568233
600,2403.988320289957,4333.216121993348,6737.204442283304,21715.228762219424
620,2889.3777225134304,3834.8845932527256,6724.2623157661565,19217.918948590483
640,2421.0165904770765,4302.728475393085,6723.745065870162,21562.444732596214
660,2903.19837903144,3804.157038399776,6707.355417431216,19063.932656619312
680,3371.2814192336104,3329.1540418993304,6700.435461132941,16683.530100791584
700,2587.516986193156,4113.374447452917,6700.891433646073,20613.526903896516
720,3477.5641846181593,3208.8903199785523,6686.454504596712,16080.847437434304
740,2998.9395378943946,3673.3870867610035,6672.326624655398,18408.599681038573
760,3156.7182827697625,3511.791213426959,6668.509496196722,17598.787463579833
780,2833.5597407612663,3834.595760204459,6668.155500965726,19216.471507350394
800,3202.5558921120087,3451.434797341775,6653.9906894537835,17296.32080933076
820,2384.8772374953946,4278.49414373375,6663.371381229144,21440.998203951833
840,3012.126577991852,3634.7328039488298,6646.8593819406815,18214.8898428319
860,2681.6723346439376,3965.649878574689,6647.3222132186265,19873.228539660926
880,2301.713550476985,4337.012441729122,6638.725992206107,21734.25341947075
900,2221.0410057064555,4408.6650997752895,6629.706105481745,22093.329407625675
920,3299.565592867333,3324.8179265632893,6624.383519430623,16661.800343075694
940,3447.24886401276,3168.55490162423,6615.80376563699,15878.71285376138
960,4124.28586600075,2482.9828940056923,6607.268760006442,12443.07692901499
980,2480.201361876918,4116.075162967509,6596.276524844427,20627.061113492797
1000,2349.3231734182077,4240.661890997123,6589.98506441533,21251.407839742616
1020,2707.1690568319177,3870.9289074869885,6578.097964318906,19398.549341153102
1040,3351.951203899447,3220.746920097494,6572.698123996941,16140.264917817569
1060,2707.908364960523,3858.917842076624,6566.8262070371475,19338.35778233834
1080,4166.011165395755,2383.8153560174014,6549.826521413156,11946.114462206111
1100,3272.8451760538096,3269.474716948639,6542.319893002448,16384.456581909966
1120,2539.962475324294,3985.5214087989148,6525.483884123209,19972.811577415323
1140,2350.5940112454236,4153.591473103334,6504.185484348757,20815.068181217597
1160,2834.92977592655,3660.985989017251,6495.915764943801,18346.45353673679
1180,2868.0162907970243,3629.5548021008976,6497.571092897922,18188.941103721398
1200,2614.906740625469,3880.2858423548173,6495.192582980286,19445.440143607382
1220,1577.1698264725599,4915.133817096698,6492.303643569258,24631.41745768189
1240,2676.0507168383024,3817.384999117989,6493.4357159562915,19130.222494228776
1260,2272.5308166445798,4214.080246712629,6486.611063357208,21118.19812431116
1280,2833.863820703911,3643.8468012963067,6477.710622000218,18260.563202241377
1300,2862.255315994295,3611.485110867781,6473.740426862076,18098.387697719274
1320,2058.97406202458,4409.219785017589,6468.193847042168,22096.10912518152
1340,2863.731365665887,3599.2316763390245,6462.963042004912,18036.981544316426
1360,2449.8803056409456,4016.33767552772,6466.217981168666,20127.24243495255
1380,2444.108312116594,4004.2937194558453,6448.402031572439,20066.886049778168
1400,3366.020145729207,3078.130068415282,6444.150214144489,15425.563072251161
1420,2690.991510604733,3728.804752159209,6419.796262763942,18686.31656561358
1440,2493.9866736145377,3910.480817811931,6404.467491426469,19596.757497983697
1460,3363.8179828633292,3017.375326392704,6381.193309256034,15121.10027042742
1480,2637.4566326489016,3738.5196029043864,6375.976235553288,18735.0010070038
1500,2473.6422314588303,3892.1798060179362,6365.822037476766,19505.04486549588
