#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
20,1801.840689946175,2225.983333813322,4027.8240237594973,11155.164190704618
40,1679.663271659524,2341.3160288463796,4020.9793005059037,11733.135790988897
60,2015.2768192893225,2002.4218087791337,4017.698628068456,10034.820888668992
80,1858.216809790712,2158.059675090397,4016.276484881109,10814.775494177586
100,1197.4448777089049,2824.1074137602745,4021.552291469179,14152.56862625011
120,1654.0269493116887,2363.5045706604856,4017.5315199721745,11844.330166673933
140,1784.8366092545282,2227.4338972180017,4012.2705064725296,11162.433460290977
160,1677.600103256181,2330.5418977492122,4008.1420010053935,11679.142933281742
180,1437.520589638277,2568.779563246719,4006.3001528849964,12873.033397179406
200,1581.4561510379351,2441.8221051778055,4023.278256215741,12236.806131467094
220,1842.089287684862,2177.154924994036,4019.244212678898,10910.468325611646
240,1273.0081487187772,2739.529150977856,4012.537299696633,13728.718009773946
260,1376.935612161822,2634.097102776197,4011.032714938019,13200.36193864515
280,2194.575167627137,1815.4530457183562,4010.028213345493,9097.856438489136
300,1327.4484479361422,2673.032111457483,4000.4805593936253,13395.47859024299
320,1135.73409492398,2869.3489134877964,4005.083008411776,14379.289262486709
340,1593.3697776632794,2407.834388593271,4001.2041662565503,12066.482053470465
360,1077.9062121943364,2923.2962329092566,4001.202445103593,14649.637740237371
380,2357.161191442197,1630.4927930987265,3987.6539845409234,8170.9573214182055
400,1322.6584837139944,2659.4954308752613,3982.1539145892557,13327.64165175472
420,1946.9411491428336,2027.1158592477977,3974.0570083906314,10158.571225577216
440,1629.9225928210494,2338.09837909041,3968.0209719114596,11717.011047020338
460,1717.728781703894,2243.902889411683,3961.631671115577,11244.965215666354
480,1724.3840352167276,2225.50645970777,3949.8904949244975,11152.77441138106
500,1599.0693163417939,2340.313846710702,3939.3831630524955,11728.113513372235
520,2058.0991078652128,1877.8473056284295,3935.9464134936425,9410.535425470598
540,1906.755998617056,2028.4983933387712,3935.2543919558275,10165.499576993772
560,2245.7509032197163,1688.827469455361,3934.5783726750774,8463.292346072278
580,1446.83419500749,2474.906547817246,3921.740742824736,12402.60359463528
600,1616.396079654764,2305.9603771871452,3922.356456841909,11555.956522241868
620,1423.999783113617,2492.011180293336,3916.010963406953,12488.320760974335
640,1569.7019572078123,2341.6366752190693,3911.3386324268813,11734.742659683812
660,1925.8753670073352,1977.3364298810577,3903.211796888393,9909.109471093057
680,1718.409623288706,2181.3426102934645,3899.7522335821704,10931.454249623082
700,1637.2416418084258,2255.087252505363,3892.3288943137886,11301.01388628453
720,1512.4028573572589,2337.9108143450835,3850.3136717023426,11716.071095899086
740,1572.4770691351355,2276.5504232355665,3849.027492370702,11408.573179254794
760,1470.7911767040991,2379.7467433947536,3850.5379200988527,11925.725252123275
780,1742.721268866489,2107.062260522601,3849.78352938909,10559.209999070916
800,1814.7486042094479,2026.5683679483159,3841.3169721577638,10155.827559330515
820,1660.9364339199267,2174.4570072624283,3835.3934411823548,10896.94813666327
840,1765.4035859372093,2075.9782575968334,3841.3818435340427,10403.437423834574
860,1784.9258718244096,2056.619800230767,3841.5456720551765,10306.425569739831
880,1392.1703981242003,2437.808595375961,3829.9789935001613,12216.693060474832
900,1962.1980698548875,1858.8327694355576,3821.0308392904453,9315.24707806046
920,1732.56466011017,2085.118818278545,3817.6834783887152,10449.243901201553
940,1841.9854512843535,1973.9384194603606,3815.923870744714,9892.08087811628
960,1309.6892593456844,2503.827774156781,3813.517033502465,12547.537756321639
