#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
20,3187.8368657263222,13210.759476101883,16398.596341828204,66203.63629918452
40,10386.049125642476,6045.364373586286,16431.41349922876,30295.389527676798
60,4065.160874377852,12317.241060658547,16382.4019350364,61725.909768045756
80,8768.585543921969,7588.77584262466,16357.361386546629,38029.952536037374
100,8273.288733746043,8083.226100775903,16356.514834521946,40507.8119746184
120,9014.481041224048,7352.581149125092,16367.062190349141,36846.30010390205
140,7483.30335677301,8824.4468971497,16307.75025392271,44222.32302216965
160,10577.999819756456,5734.56218291986,16312.562002676317,28737.85339744204
180,10202.632219112491,6048.182808351065,16250.815027463555,30309.513668717886
200,8236.04764066974,8014.02606561545,16250.07370628519,40161.026919002106
220,4738.1962540726545,11497.833669642236,16236.02992371489,57619.57894022007
240,7697.246233914373,8522.74883511446,16219.995069028833,42710.410795830074
260,7239.187853926958,8952.569774348212,16191.75762827517,44864.390601932915
280,5789.841188537756,10382.82559474366,16172.666783281416,52031.891934429485
300,6049.111472673573,10106.93742357073,16156.048896244301,50649.32190303798
320,7046.225963141039,9113.252160359292,16159.478123500332,45669.62502183181
340,5524.199200485902,10613.561631923942,16137.760832409844,53188.18917186173
360,4333.770776221345,11789.943132580405,16123.71390880175,59083.43941537989
380,6123.282224080599,9967.185197323934,16090.467421404534,49948.97567576912
400,8116.238156553158,7979.719069475821,16095.957226028979,39989.102821901244
420,5567.209992059499,10494.286558970334,16061.496551029833,52590.46096678285
440,4869.963022571291,11186.778789463506,16056.741812034797,56060.776496371815
460,7436.087999601959,8600.065204909984,16036.153204511944,43097.869581615676
480,7097.505865946214,8937.279205956102,16034.785071902315,44787.76433146979
500,4730.310192660918,11260.617401032205,15990.927593693123,56430.80704563538
520,7513.831522729194,8473.942783721652,15987.774306450847,42465.82697145163
540,7210.24070187257,8773.836464381668,15984.077166254237,43968.69682528215
560,8642.790092664052,7313.364475238913,15956.154567902966,36649.77193158001
580,5853.626709541876,10063.947444046584,15917.574153588459,50433.88440498387
600,5814.776806314816,10097.767739079361,15912.544545394177,50603.36947629499
620,6923.8210648379245,8972.160723449066,15895.98178828699,44962.56755166658
640,7240.6026034085,8645.445566529754,15886.048169938254,43325.28610231121
660,8980.724533027704,6860.17224197013,15840.896774997833,34378.67057368937
680,7030.043374447981,8799.743258697968,15829.786633145948,44098.52463659738
700,7442.221388771544,8346.08334436881,15788.304733140354,41825.079568878304
720,3803.9595354184326,11963.470401450446,15767.429936868879,59953.04393865086
740,6512.116992870647,9245.944917370056,15758.061910240704,46334.59383309267
760,4747.766963828929,10999.794189826327,15747.561153655257,55123.73268368852
780,5353.823280527476,10434.530660992026,15788.353941519501,52291.003714257466
800,6323.664086686589,9460.351180160973,15784.015266847562,47409.05698320565
820,5917.318696174647,9859.893976441821,15777.212672616468,49411.30265415184
840,6601.655998642611,9149.587121153636,15751.243119796247,45851.711943762784
860,6035.047816456548,9680.270334620807,15715.318151077356,48511.14711991738
880,5234.885624890747,10463.483406994588,15698.369031885335,52436.095831760904
900,7921.493972424553,7786.966335394247,15708.460307818801,39023.15291373023
920,7935.342556453604,7751.600382139964,15686.942938593567,38845.92202016533
940,7148.073635153535,8500.017056743558,15648.090691897094,42596.49407586986
960,6346.733812160867,9284.016002534223,15630.74981469509,46525.381068321905
980,5386.101444423677,10255.619215846791,15641.720660270468,51394.41724127055
1000,6924.854666029873,8695.877088835927,15620.7317548658,43578.0157176533
1020,4088.775978222349,11506.94147780903,15595.71745603138,57665.22128352727
1040,4969.148187008298,10357.08835915293,15326.236546161228,51902.91383990907
1060,6490.988010503007,8821.768327789589,15312.756338292595,44208.89979453162
