Epsilon(kCal/mol) T(Kelvin) dCv(kCal/mol*Kelvin)
1.5 10.44 0.3045
1.5 10.88 0.2705
1.5 11.37 0.218
1.5 11.85 0.1796
1.5 12.37 0.1548
1.5 12.89 0.1312
1.5 13.46 0.1018
1.5 14.03 0.0752
1.5 14.65 0.0547
1.5 15.27 0.0431
1.5 15.95 0.0383
1.5 16.62 0.0392
1.5 17.36 0.0439
1.5 18.09 0.0502
1.5 18.89 0.0562
1.5 19.69 0.0591
1.5 20.56 0.0575
1.5 21.43 0.0519
1.5 22.38 0.0435
1.5 23.33 0.0349
1.5 24.36 0.0269
1.5 25.39 0.0207
1.5 26.51 0.0159
1.5 27.63 0.0126
1.5 28.86 0.0101
1.5 30.08 0.0086
1.5 31.41 0.0076
1.5 32.74 0.0071
1.5 34.18 0.007
1.5 35.63 0.0073
1.5 37.21 0.0078
1.5 38.78 0.0086
1.5 40.49 0.0097
1.5 42.21 0.0109
1.5 44.07 0.0122
1.5 45.94 0.0133
1.5 47.97 0.0143
1.5 50.0 0.0149
1.5 52.21 0.0152
1.5 54.42 0.0151
1.5 10.44 0.3045
1.5 10.88 0.2705
1.5 11.37 0.218
1.5 11.85 0.1796
1.5 12.37 0.1548
1.5 12.89 0.1312
1.5 13.46 0.1018
1.5 14.03 0.0752
1.5 14.65 0.0547
1.5 15.27 0.0431
1.5 15.95 0.0383
1.5 16.62 0.0392
1.5 17.36 0.0439
1.5 18.09 0.0502
1.5 18.89 0.0562
1.5 19.69 0.0591
1.5 20.56 0.0575
1.5 21.43 0.0519
1.5 22.38 0.0435
1.5 23.33 0.0349
1.5 24.36 0.0269
1.5 25.39 0.0207
1.5 26.51 0.0159
1.5 27.63 0.0126
1.5 28.86 0.0101
1.5 30.08 0.0086
1.5 31.41 0.0076
1.5 32.74 0.0071
1.5 34.18 0.007
1.5 35.63 0.0073
1.5 37.21 0.0078
1.5 38.78 0.0086
1.5 40.49 0.0097
1.5 42.21 0.0109
1.5 44.07 0.0122
1.5 45.94 0.0133
1.5 47.97 0.0143
1.5 50.0 0.0149
1.5 52.21 0.0152
1.5 54.42 0.0151
