Epsilon(kCal/mol) T(Kelvin) dCv(kCal/mol*Kelvin)
3.0 10.44 0.0651
3.0 10.88 0.048
3.0 11.37 0.034
3.0 11.85 0.0247
3.0 12.37 0.0185
3.0 12.89 0.0151
3.0 13.46 0.0132
3.0 14.03 0.0124
3.0 14.65 0.0123
3.0 15.27 0.0124
3.0 15.95 0.0127
3.0 16.62 0.013
3.0 17.36 0.0132
3.0 18.09 0.0133
3.0 18.89 0.0132
3.0 19.69 0.013
3.0 20.56 0.0128
3.0 21.43 0.0125
3.0 22.38 0.0123
3.0 23.33 0.0121
3.0 24.36 0.0121
3.0 25.39 0.0122
3.0 26.51 0.0124
3.0 27.63 0.0129
3.0 28.86 0.0136
3.0 30.08 0.0145
3.0 31.41 0.0157
3.0 32.74 0.0172
3.0 34.18 0.0191
3.0 35.63 0.0212
3.0 37.21 0.0238
3.0 38.78 0.0262
3.0 40.49 0.0285
3.0 42.21 0.0301
3.0 44.07 0.0308
3.0 45.94 0.0303
3.0 47.97 0.0287
3.0 50.0 0.0263
3.0 52.21 0.0235
3.0 54.42 0.0206
3.0 10.44 0.0651
3.0 10.88 0.048
3.0 11.37 0.034
3.0 11.85 0.0247
3.0 12.37 0.0185
3.0 12.89 0.0151
3.0 13.46 0.0132
3.0 14.03 0.0124
3.0 14.65 0.0123
3.0 15.27 0.0124
3.0 15.95 0.0127
3.0 16.62 0.013
3.0 17.36 0.0132
3.0 18.09 0.0133
3.0 18.89 0.0132
3.0 19.69 0.013
3.0 20.56 0.0128
3.0 21.43 0.0125
3.0 22.38 0.0123
3.0 23.33 0.0121
3.0 24.36 0.0121
3.0 25.39 0.0122
3.0 26.51 0.0124
3.0 27.63 0.0129
3.0 28.86 0.0136
3.0 30.08 0.0145
3.0 31.41 0.0157
3.0 32.74 0.0172
3.0 34.18 0.0191
3.0 35.63 0.0212
3.0 37.21 0.0238
3.0 38.78 0.0262
3.0 40.49 0.0285
3.0 42.21 0.0301
3.0 44.07 0.0308
3.0 45.94 0.0303
3.0 47.97 0.0287
3.0 50.0 0.0263
3.0 52.21 0.0235
3.0 54.42 0.0206
