Epsilon(kCal/mol) T(Kelvin) Cv(kCal/mol*Kelvin)
1.25 10.44 0.3337
1.25 10.88 0.3004
1.25 11.37 0.2545
1.25 11.85 0.2088
1.25 12.37 0.1659
1.25 12.89 0.1322
1.25 13.46 0.1052
1.25 14.03 0.086
1.25 14.65 0.0716
1.25 15.27 0.0618
1.25 15.95 0.0548
1.25 16.62 0.0504
1.25 17.36 0.0475
1.25 18.09 0.046
1.25 18.89 0.0453
1.25 19.69 0.0453
1.25 20.56 0.0458
1.25 21.43 0.0466
1.25 22.38 0.0476
1.25 23.33 0.0485
1.25 24.36 0.0494
1.25 25.39 0.0501
1.25 26.51 0.0506
1.25 27.63 0.0509
1.25 28.86 0.0508
1.25 30.08 0.0505
1.25 31.41 0.0498
1.25 32.74 0.0489
1.25 34.18 0.0477
1.25 35.63 0.0463
1.25 37.21 0.0447
1.25 38.78 0.043
1.25 40.49 0.0411
1.25 42.21 0.0392
1.25 44.07 0.0371
1.25 45.94 0.035
1.25 47.97 0.0329
1.25 50.0 0.0308
1.25 52.21 0.0286
1.25 54.42 0.0266
1.25 10.44 0.3337
1.25 10.88 0.3004
1.25 11.37 0.2545
1.25 11.85 0.2088
1.25 12.37 0.1659
1.25 12.89 0.1322
1.25 13.46 0.1052
1.25 14.03 0.086
1.25 14.65 0.0716
1.25 15.27 0.0618
1.25 15.95 0.0548
1.25 16.62 0.0504
1.25 17.36 0.0475
1.25 18.09 0.046
1.25 18.89 0.0453
1.25 19.69 0.0453
1.25 20.56 0.0458
1.25 21.43 0.0466
1.25 22.38 0.0476
1.25 23.33 0.0485
1.25 24.36 0.0494
1.25 25.39 0.0501
1.25 26.51 0.0506
1.25 27.63 0.0509
1.25 28.86 0.0508
1.25 30.08 0.0505
1.25 31.41 0.0498
1.25 32.74 0.0489
1.25 34.18 0.0477
1.25 35.63 0.0463
1.25 37.21 0.0447
1.25 38.78 0.043
1.25 40.49 0.0411
1.25 42.21 0.0392
1.25 44.07 0.0371
1.25 45.94 0.035
1.25 47.97 0.0329
1.25 50.0 0.0308
1.25 52.21 0.0286
1.25 54.42 0.0266
