Epsilon(kCal/mol) T(Kelvin) Cv(kCal/mol*Kelvin)
1.0 10.44 0.3314
1.0 10.88 0.334
1.0 11.37 0.3109
1.0 11.85 0.273
1.0 12.37 0.2298
1.0 12.89 0.1933
1.0 13.46 0.1643
1.0 14.03 0.1452
1.0 14.65 0.1328
1.0 15.27 0.1261
1.0 15.95 0.1225
1.0 16.62 0.1205
1.0 17.36 0.1186
1.0 18.09 0.1158
1.0 18.89 0.1115
1.0 19.69 0.1058
1.0 20.56 0.0984
1.0 21.43 0.0904
1.0 22.38 0.0817
1.0 23.33 0.0735
1.0 24.36 0.0654
1.0 25.39 0.0584
1.0 26.51 0.052
1.0 27.63 0.0468
1.0 28.86 0.0423
1.0 30.08 0.0389
1.0 31.41 0.0361
1.0 32.74 0.0342
1.0 34.18 0.033
1.0 35.63 0.0324
1.0 37.21 0.0326
1.0 38.78 0.0334
1.0 40.49 0.035
1.0 42.21 0.037
1.0 44.07 0.0398
1.0 45.94 0.0428
1.0 47.97 0.0462
1.0 50.0 0.0496
1.0 52.21 0.0528
1.0 54.42 0.0553
1.0 10.44 0.3314
1.0 10.88 0.334
1.0 11.37 0.3109
1.0 11.85 0.273
1.0 12.37 0.2298
1.0 12.89 0.1933
1.0 13.46 0.1643
1.0 14.03 0.1452
1.0 14.65 0.1328
1.0 15.27 0.1261
1.0 15.95 0.1225
1.0 16.62 0.1205
1.0 17.36 0.1186
1.0 18.09 0.1158
1.0 18.89 0.1115
1.0 19.69 0.1058
1.0 20.56 0.0984
1.0 21.43 0.0904
1.0 22.38 0.0817
1.0 23.33 0.0735
1.0 24.36 0.0654
1.0 25.39 0.0584
1.0 26.51 0.052
1.0 27.63 0.0468
1.0 28.86 0.0423
1.0 30.08 0.0389
1.0 31.41 0.0361
1.0 32.74 0.0342
1.0 34.18 0.033
1.0 35.63 0.0324
1.0 37.21 0.0326
1.0 38.78 0.0334
1.0 40.49 0.035
1.0 42.21 0.037
1.0 44.07 0.0398
1.0 45.94 0.0428
1.0 47.97 0.0462
1.0 50.0 0.0496
1.0 52.21 0.0528
1.0 54.42 0.0553
