Epsilon(kCal/mol) T(Kelvin) Cv(kCal/mol*Kelvin)
1.5 10.44 0.6573
1.5 10.88 0.6689
1.5 11.37 0.6356
1.5 11.85 0.5842
1.5 12.37 0.5172
1.5 12.89 0.4398
1.5 13.46 0.3539
1.5 14.03 0.2804
1.5 14.65 0.2234
1.5 15.27 0.1902
1.5 15.95 0.1761
1.5 16.62 0.1781
1.5 17.36 0.1912
1.5 18.09 0.2084
1.5 18.89 0.224
1.5 19.69 0.2304
1.5 20.56 0.2245
1.5 21.43 0.2073
1.5 22.38 0.1813
1.5 23.33 0.1535
1.5 24.36 0.1258
1.5 25.39 0.1029
1.5 26.51 0.0837
1.5 27.63 0.0697
1.5 28.86 0.059
1.5 30.08 0.0519
1.5 31.41 0.0471
1.5 32.74 0.0446
1.5 34.18 0.0436
1.5 35.63 0.044
1.5 37.21 0.0452
1.5 38.78 0.047
1.5 40.49 0.0492
1.5 42.21 0.0512
1.5 44.07 0.053
1.5 45.94 0.054
1.5 47.97 0.0543
1.5 50.0 0.0536
1.5 52.21 0.052
1.5 54.42 0.0497
1.5 10.44 0.6573
1.5 10.88 0.6689
1.5 11.37 0.6356
1.5 11.85 0.5842
1.5 12.37 0.5172
1.5 12.89 0.4398
1.5 13.46 0.3539
1.5 14.03 0.2804
1.5 14.65 0.2234
1.5 15.27 0.1902
1.5 15.95 0.1761
1.5 16.62 0.1781
1.5 17.36 0.1912
1.5 18.09 0.2084
1.5 18.89 0.224
1.5 19.69 0.2304
1.5 20.56 0.2245
1.5 21.43 0.2073
1.5 22.38 0.1813
1.5 23.33 0.1535
1.5 24.36 0.1258
1.5 25.39 0.1029
1.5 26.51 0.0837
1.5 27.63 0.0697
1.5 28.86 0.059
1.5 30.08 0.0519
1.5 31.41 0.0471
1.5 32.74 0.0446
1.5 34.18 0.0436
1.5 35.63 0.044
1.5 37.21 0.0452
1.5 38.78 0.047
1.5 40.49 0.0492
1.5 42.21 0.0512
1.5 44.07 0.053
1.5 45.94 0.054
1.5 47.97 0.0543
1.5 50.0 0.0536
1.5 52.21 0.052
1.5 54.42 0.0497
